text,label,platform,category
"Hi Rahul, I came across your profile on Naukri and wanted to reach out about a Python Developer opening at Freshworks. Would you be available for a 20-minute call this week?",ham,Naukri,recruiter_outreach
"Your application for the role of Marketing Executive at Swiggy submitted via Naukri has been received. Our team will review and respond within 5 business days.",ham,Naukri,application_confirmation
"Naukri Job Alert: 3 new openings match your profile — Software Engineer at Zoho, Business Analyst at KPMG, Product Manager at Razorpay. Log in to apply: naukri.com/jobs",ham,Naukri,job_alert
"Thank you for applying to Infosys through Naukri. We are moving forward with other candidates at this time. We encourage you to apply for future openings on our careers page.",ham,Naukri,rejection_mail
"Naukri Resume Score Update: Your profile completeness is at 78%. Add your certifications and a profile photo to improve recruiter visibility.",ham,Naukri,profile_update
"Interview Scheduled: Your application for QA Engineer at Mindtree has been shortlisted. Technical interview scheduled for Monday 10 AM. Joining link sent to your registered email.",ham,Naukri,interview_invite
"Naukri: Your job alert for React Developer roles in Bangalore has 8 new listings today. View and apply before they close.",ham,Naukri,job_alert
"Hi, this is Priya from Zoho HR. I found your profile on Naukri and we have an opening for a Customer Success Manager. The CTC range is ₹8–11 LPA. Can we schedule a call?",ham,Naukri,recruiter_outreach
"Congratulations! Your LinkedIn profile has been shortlisted for a Senior Software Engineer role at Google India. Salary: ₹80 LPA. To confirm your interview, verify your identity now: bit.ly/google-linkedin-verify",scam,LinkedIn,phishing_link
"Hi, I'm a recruiter at Microsoft. We found your LinkedIn profile impressive. To confirm your interview slot for a Software Architect role, pay a ₹1000 registration fee at: tinyurl.com/ms-hire-india",scam,LinkedIn,fee_fraud
"URGENT: Your LinkedIn account will be suspended unless you verify your employment details within 6 hours. Click here immediately: bit.ly/linkedin-suspend-fix",scam,LinkedIn,account_suspension
"You have been selected for a Work From Home opportunity at Meta. Package: ₹1.2L/month. No experience needed. Confirm by sending your Aadhaar and bank details to: recruiter.meta.jobs@gmail.com",scam,LinkedIn,data_theft
"LinkedIn Job Alert: Amazon is hiring 1000 remote employees. No interview needed — direct selection based on your LinkedIn profile. Register at t.me/amazon_linkedin_india",scam,LinkedIn,telegram_scam
"Exciting opportunity! Remote job at Flipkart — ₹95,000/month. Limited seats available. Register in the next 2 hours or lose your slot: bit.ly/flipkart-remote-apply",scam,LinkedIn,urgency_fee
"Hi, I represent LinkedIn Talent Solutions. Your account has been flagged for suspicious activity. Verify now to keep receiving job alerts: bit.ly/ln-account-restore",scam,LinkedIn,phishing_link
"Congratulations! You are selected for the LinkedIn Premium Jobs Program. To unlock ₹60,000/month remote jobs, activate by sharing your card details at: tinyurl.com/ln-premium-jobs",scam,LinkedIn,data_theft
"LinkedIn Recruiter: HDFC Bank is urgently hiring for 50 relationship manager positions. Pay ₹699 background verification fee and confirm your joining date today.",scam,LinkedIn,fee_fraud
"You have a new InMail from a top recruiter on LinkedIn! They are offering ₹40,000/month WFH job. View and confirm at: t.me/linkedin_wfh_jobs_india",scam,LinkedIn,telegram_scam
"LinkedIn Premium: Your free trial is ending. To continue receiving recruiter messages and job insights, enter your card details now: bit.ly/linkedin-premium-india",scam,LinkedIn,phishing_link
"BREAKING: LinkedIn is partnering with TCS for 10,000 government job openings. No qualification required. Apply via this WhatsApp number: +91-9988776655",scam,LinkedIn,fake_govt_job
"LinkedIn Job Offer: Earn ₹1500/hour doing social media management from home. No experience needed. Send your Aadhaar + PAN to confirm: linkedin.hr.wfh@gmail.com",scam,LinkedIn,data_theft
"Hi, I am Anjali from Deloitte HR. Saw your LinkedIn profile. We have an urgent Business Analyst opening. To proceed, pay ₹1200 document verification fee to our secure portal: tinyurl.com/deloitte-verify",scam,LinkedIn,fee_fraud
"Congratulations! Your LinkedIn profile matched our opening at IBM. Package ₹18 LPA. Share your OTP received on +91-XXXXXX to confirm your interview booking immediately.",scam,LinkedIn,otp_scam
"Hi Arjun, I noticed your background in data science on LinkedIn. We have an opening for a Senior Data Analyst at Razorpay that aligns well with your experience. Would you be open to a quick chat?",ham,LinkedIn,recruiter_outreach
"Your application for Product Manager at Zomato submitted via LinkedIn Easy Apply has been received. The hiring team will review your profile and be in touch.",ham,LinkedIn,application_confirmation
"LinkedIn: You have 3 new connection requests and 1 InMail from a recruiter at Paytm. Log in to your account to respond.",ham,LinkedIn,platform_notification
"Congratulations! Your LinkedIn profile has appeared in 47 recruiter searches this week. Keep your profile updated to improve visibility.",ham,LinkedIn,profile_update
"Interview Invitation: Thank you for applying to the Frontend Engineer role at CRED via LinkedIn. We'd like to schedule a technical interview. Please choose a slot: calendly.com/cred-tech-interview",ham,LinkedIn,interview_invite
"Hi, this is Karthik from Thoughtworks Recruitment. I came across your LinkedIn profile and wanted to discuss a Senior Consultant opening in Bangalore. CTC: ₹22–28 LPA. Are you exploring opportunities?",ham,LinkedIn,recruiter_outreach
"LinkedIn Job Alert: 5 new Software Engineer roles in Chennai match your profile today. Companies include Zoho, Freshworks, and Chargebee.",ham,LinkedIn,job_alert
"We regret to inform you that after careful consideration, we will not be moving forward with your application for the UX Designer role at Swiggy. Thank you for your time and interest.",ham,LinkedIn,rejection_mail
"LinkedIn Learning: Complete these 3 free courses to add in-demand skills to your profile — Python for Data Science, SQL Essentials, Cloud Fundamentals.",ham,LinkedIn,platform_notification
"Indeed Job Alert: You have been selected for a Data Entry job at Tata Consultancy Services. Salary ₹35,000/month. No experience needed. Confirm by paying ₹600 registration fee: bit.ly/tcs-indeed-apply",scam,Indeed,fee_fraud
"URGENT: Your Indeed account will be disabled. Verify your profile within 12 hours to continue receiving job alerts: tinyurl.com/indeed-account-verify-india",scam,Indeed,account_suspension
"Indeed Recruiter: You matched a Work From Home opening. Earn ₹70,000/month doing email support. Register via Telegram to confirm your slot: t.me/indeed_wfh_openings",scam,Indeed,telegram_scam
"Hi Candidate, Indeed HR here. Your resume was shortlisted for an HR Executive role at ICICI Bank. Pay ₹800 processing fee via UPI to receive your interview letter: icici.indeed.hr@okaxis",scam,Indeed,fee_fraud
"Congratulations from Indeed! Amazon Fulfillment Center is hiring 500 packers. Work from home option available. Send your Aadhaar and bank account details to: indeed.amazon.recruit@gmail.com",scam,Indeed,data_theft
"Indeed Special: Get your resume seen by 500+ recruiters for just ₹149. Offer valid for next 2 hours only. Pay now: bit.ly/indeed-resume-boost",scam,Indeed,fake_upgrade
"FINAL CALL: Your Indeed job match at Cognizant expires tonight. Pay ₹1,100 onboarding fee to confirm joining: tinyurl.com/cognizant-onboard",scam,Indeed,urgency_fee
"Indeed Alert: Your profile has been shortlisted for a government job at BSNL. 100% confirmation on payment of ₹500 form fee. Apply at: bit.ly/bsnl-govt-job-indeed",scam,Indeed,fake_govt_job
"Work from Home via Indeed: Earn ₹25,000/week doing simple online tasks. No qualification required. Share your OTP to register: reply OTP to this number",scam,Indeed,otp_scam
"Indeed Mass Hiring: Infosys is directly selecting 300 freshers. No interview. Pay ₹999 background check fee to get offer letter in 24 hours: tinyurl.com/infosys-fresher-direct",scam,Indeed,fee_fraud
"Your resume on Indeed was reviewed by 8 recruiters this week. You have 2 new job recommendations matching your skills. Log in to apply: indeed.com/my-jobs",ham,Indeed,job_alert
"Indeed Job Alert: New listings for your search 'Software Developer Chennai' — 12 new jobs posted today including openings at Zoho, Freshworks, and Payoneer.",ham,Indeed,job_alert
"Hi Divya, I found your profile on Indeed and wanted to reach out about a Digital Marketing Specialist role at our company. The CTC is ₹5.5 LPA. Would you be interested in connecting?",ham,Indeed,recruiter_outreach
"Your application for Customer Support Executive at Amazon India submitted via Indeed has been received. Expected response time: 3–5 business days.",ham,Indeed,application_confirmation
"Thank you for your interest in the Data Analyst role at Myntra. After reviewing your application on Indeed, we regret that we are unable to move forward at this time.",ham,Indeed,rejection_mail
"Indeed: Update your resume to improve your match rate. Add recent skills and certifications to get 2x more recruiter views.",ham,Indeed,profile_update
"Interview Confirmation: Your Indeed application for Operations Executive at Delhivery has been reviewed. Please attend a telephonic interview on Thursday at 3 PM. HR will call on your registered number.",ham,Indeed,interview_invite
"Indeed Salary Insights: The average salary for a Java Developer in Bangalore is ₹8.2 LPA based on 4,300 profiles. Compare your salary or explore higher-paying roles.",ham,Indeed,platform_notification
"Congratulations! Your Internshala profile has been shortlisted for a paid internship at Razorpay. Stipend: ₹25,000/month. To confirm, pay ₹300 security deposit at: bit.ly/razorpay-intern-confirm",scam,Internshala,fee_fraud
"URGENT: Your Internshala account will be deactivated in 24 hours. Verify your student ID and bank account to continue applying for internships: tinyurl.com/internshala-verify",scam,Internshala,account_suspension
"Internshala Recruiter Message: You have been selected for a Work From Home internship at Google. Stipend ₹30,000/month. No experience needed. Send Aadhaar to confirm: google.intern.india@gmail.com",scam,Internshala,data_theft
"Internshala Job Alert: 200 fresher openings at Infosys BPO. Direct selection — no interview. Pay ₹499 processing fee to receive your appointment letter today.",scam,Internshala,fee_fraud
"Hi Student, Internshala Premium here. Upgrade your profile for ₹199 and get guaranteed internship calls from top startups. Offer expires tonight: bit.ly/internshala-premium-now",scam,Internshala,fake_upgrade
"Internshala: You have been selected for a Part Time Work From Home role. Earn ₹15,000/month. Register on Telegram to get started: t.me/internshala_wfh_part_time",scam,Internshala,telegram_scam
"Congratulations! Flipkart has selected you for a Summer Internship via Internshala. To activate your offer, share your college ID and bank account details with us: internshala.hr.team@gmail.com",scam,Internshala,data_theft
"FINAL REMINDER: Your Internshala application for Amazon Summer Internship expires in 3 hours. Pay ₹750 confirmation fee immediately: tinyurl.com/amazon-intern-confirm",scam,Internshala,urgency_fee
"Internshala Certificate Offer: Get your profile verified and receive a certificate for ₹99. Recruiters prioritize verified candidates. Pay now: bit.ly/internshala-cert",scam,Internshala,fake_upgrade
"Internshala Mass Hiring: Swiggy is hiring 500 delivery partners as interns. ₹20,000/month + tips. Send your OTP to register directly: reply with your OTP",scam,Internshala,otp_scam
"Internshala: 5 new internship recommendations for you — Web Developer at Zoho, Content Writer at The Hindu, Data Science Intern at Mu Sigma. Apply now.",ham,Internshala,job_alert
"Hi Meera, I came across your Internshala profile and wanted to discuss a UI/UX Design internship at our Bangalore-based startup. Stipend: ₹12,000/month. Interested?",ham,Internshala,recruiter_outreach
"Your application for the Marketing Intern role at Byju's via Internshala has been submitted. The company will review and respond within 7 days.",ham,Internshala,application_confirmation
"Internshala Placement Update: Congratulations! You have been shortlisted for the next round of the Software Developer internship at ISRO. Interview scheduled for Saturday at 11 AM.",ham,Internshala,interview_invite
"Thank you for applying to the Content Writing internship at Times of India via Internshala. We received many strong applications and have selected other candidates this time.",ham,Internshala,rejection_mail
"Internshala Training: Enroll in the free Python course to boost your profile visibility to tech recruiters. 45,000 students already enrolled this month.",ham,Internshala,platform_notification
"Complete your Internshala profile to increase shortlisting chances by 3x. Add your projects, skills, and a profile photo.",ham,Internshala,profile_update
"Internshala Job Alert: 10 new part-time internships in Chennai posted today. Categories: Design, Marketing, Development. Log in to apply.",ham,Internshala,job_alert
"Congratulations! Your Foundit profile has been shortlisted for a Project Manager role at L&T. CTC ₹22 LPA. Pay ₹1500 background check fee to confirm your interview: bit.ly/lt-foundit-verify",scam,Foundit,fee_fraud
"URGENT: Your Foundit (Monster) account is about to expire. Reactivate now to continue receiving job alerts. Verify your identity: tinyurl.com/foundit-reactivate",scam,Foundit,account_suspension
"Foundit Recruiter: You have been selected for a WFH job at IBM India. Salary ₹65,000/month. No experience required. Confirm by sending your bank passbook to: foundit.ibm.hr@gmail.com",scam,Foundit,data_theft
"Foundit Job Alert: Cognizant mass hiring 1000 employees. Direct joining — no interview. Pay ₹850 onboarding fee to confirm: tinyurl.com/cognizant-direct-join",scam,Foundit,fee_fraud
"Hi, Foundit Premium Recruiter here. Get 50 direct recruiter contacts for ₹149. These recruiters are actively hiring from your profile. Offer valid 2 hours: bit.ly/foundit-contacts",scam,Foundit,fake_upgrade
"Foundit: You matched a government job posting at NTPC. 100% selection guaranteed on payment of ₹500 form fee. Apply: bit.ly/ntpc-govt-job-foundit",scam,Foundit,fake_govt_job
"FINAL NOTICE from Foundit: Your application for Wipro Digital expires tonight. Pay ₹999 to secure your position. Do not miss this: tinyurl.com/wipro-foundit-confirm",scam,Foundit,urgency_fee
"Foundit Mass Hiring: Accenture selecting 300 freshers directly. No interview. Register via Telegram: t.me/accenture_foundit_hiring",scam,Foundit,telegram_scam
"Congratulations! Foundit has matched you to an Oracle India opening. Share your OTP received on your mobile to book your interview slot immediately.",scam,Foundit,otp_scam
"Foundit Work From Home: Earn ₹1200/hour doing simple copy-paste tasks. No qualification needed. Send Aadhaar + PAN to: foundit.dataentry@gmail.com",scam,Foundit,data_theft
"Foundit: 6 new job matches for your profile today — Senior Java Developer at HCL, DevOps Engineer at Mphasis, Cloud Architect at Tech Mahindra. Log in to apply.",ham,Foundit,job_alert
"Hi Vivek, I found your profile on Foundit and wanted to discuss a Supply Chain Manager role at Maersk India. The role is based in Chennai with CTC up to ₹18 LPA. Would you be open to a conversation?",ham,Foundit,recruiter_outreach
"Your application for Operations Manager at DHL Express India via Foundit has been received and is under review. You will hear from us within 7 business days.",ham,Foundit,application_confirmation
"Foundit Interview Invite: Your profile has been shortlisted for the Network Engineer position at Airtel. Technical round scheduled for Wednesday 2 PM. Details sent to your registered email.",ham,Foundit,interview_invite
"Thank you for applying to the Finance Analyst role at KPMG India via Foundit. After careful review, we have decided to proceed with other candidates whose experience more closely matches our current requirements.",ham,Foundit,rejection_mail
"Foundit: Your profile was viewed by 5 recruiters this week from companies including TCS, Wipro, and Capgemini. Update your last active date to improve visibility.",ham,Foundit,profile_update
"Foundit Job Alert: New openings for Mechanical Engineers in Pune — 14 listings posted in the last 24 hours. Apply before they close.",ham,Foundit,job_alert
"Foundit Resume Tip: Add quantifiable achievements to your resume to stand out. Profiles with measurable outcomes receive 40% more recruiter responses.",ham,Foundit,platform_notification
